Command:
display ont optical-info 5 all
-----------------------------------------------------------------------------
ONT  Rx power    Tx power    OLT Rx ONT  Temperature  Voltage     Current
ID   (dBm)       (dBm)       power(dBm)  (C)          (V)         (mA)
-----------------------------------------------------------------------------
1	-20.70	2.18	-21.43	48	3.340	7
2	-23.01	2.19	-24.09	38	3.320	7
3	-18.82	2.30	-21.14	47	3.280	7
6	-21.74	1.88	-24.69	38	3.220	10
8	-19.20	2.03	-21.49	48	3.360	8
9	-20.75	2.21	-22.60	45	3.280	6
11	-19.74	2.07	-21.20	36	3.280	13
12	-21.55	2.49	-23.57	40	3.260	13
14	-18.60	1.98	-20.97	37	3.220	9
16	-17.40	2.08	-20.18	41	3.400	6
17	-17.74	2.27	-20.37	37	3.320	12
18	-20.70	2.20	-22.93	36	3.220	11
19	-25.08	2.08	-27.22	37	3.220	8
20	-20.36	2.41	-20.97	37	3.260	12
21	-20.31	2.09	-20.32	31	3.240	11
22	-19.39	2.17	-23.77	42	3.320	10
23	-21.74	2.40	-23.10	38	3.240	12
24	-18.50	2.23	-21.25	45	3.280	7
26	-19.20	2.33	-20.61	31	3.220	11
29	-24.81	2.61	-25.38	37	3.280	11
30	-18.41	2.35	-21.31	34	3.260	9
31	-20.75	2.21	-22.01	42	3.300	14
32	-22.14	2.06	-23.88	39	3.240	12
36	-18.18	2.17	-20.41	39	3.320	11
37	-23.87	2.18	-24.44	34	3.320	8
38	-21.36	2.17	-23.28	42	3.320	9
42	-18.29	1.93	-21.08	45	3.280	9
43	-21.55	2.16	-23.88	35	3.240	8
44	-20.00	2.32	-22.52	37	3.340	7
45	-23.28	2.19	-19.29	54	3.300	54
46	-18.29	2.03	-21.08	43	3.240	8
47	-21.94	2.27	-23.88	47	3.360	5
48	-22.67	2.25	-25.38	36	3.220	6
49	-20.17	2.13	-22.60	35	3.260	9
-----------------------------------------------------------------------------
