Command:
display ont optical-info 2 all
-----------------------------------------------------------------------------
ONT  Rx power    Tx power    OLT Rx ONT  Temperature  Voltage     Current
ID   (dBm)       (dBm)       power(dBm)  (C)          (V)         (mA)
-----------------------------------------------------------------------------
0	-19.35	2.08	-23.02	39	3.300	11
1	-20.36	2.25	-22.60	34	3.260	9
2	-20.45	2.25	-24.69	47	3.380	11
3	-22.36	2.02	-27.45	41	3.220	9
4	-22.52	2.39	-26.78	43	3.300	10
6	-19.70	1.99	-22.84	35	3.260	13
7	-21.36	2.25	-23.19	39	3.240	12
8	-20.31	2.05	-22.76	39	3.240	11
9	-19.83	1.94	-22.22	38	3.220	11
10	-20.04	2.28	-23.67	37	3.340	8
11	-22.36	2.25	-25.53	47	3.360	7
12	-19.03	2.18	-21.55	53	3.280	25
13	-20.50	2.26	-24.09	39	3.360	11
14	-19.54	2.07	-23.98	39	3.280	10
15	-21.55	2.26	-25.09	40	3.360	9
16	-27.69	2.28	-30.00	50	3.320	8
17	-23.98	2.28	-27.96	41	3.260	10
18	-19.28	1.87	-20.76	57	3.300	26
19	-23.01	2.28	-25.53	35	3.320	11
21	-23.46	2.22	-26.20	37	3.320	9
22	-21.08	2.28	-24.56	33	3.320	11
23	-24.31	2.12	-28.54	42	3.300	5
24	-22.00	2.12	-26.78	41	3.260	7
25	-20.97	2.27	-24.32	40	3.280	10
26	-18.32	2.21	-24.21	43	3.200	8
27	-19.91	1.86	-24.95	42	3.240	11
28	-22.92	2.23	-27.70	46	3.280	14
29	-19.58	1.99	-23.10	44	3.340	13
30	-21.02	2.18	-25.38	56	3.280	18
31	-24.68	2.13	-27.96	51	3.320	14
32	-22.75	2.26	-26.99	44	3.320	12
33	-28.86	2.06	-27.70	49	3.360	9
34	-20.70	2.44	-25.86	36	3.220	9
35	-24.56	1.89	-28.24	41	3.280	10
36	-19.58	2.00	-21.03	55	3.320	23
37	-18.76	1.87	-24.21	46	3.280	8
38	-20.36	2.25	-24.95	51	3.260	11
39	-19.87	1.92	-25.38	42	3.240	9
40	-23.18	2.32	-28.24	40	3.380	8
42	-19.66	2.33	-23.57	38	3.260	12
43	-19.62	2.33	-23.67	37	3.240	10
44	-25.08	2.20	-23.88	51	3.280	38
45	-20.70	1.95	-25.38	34	3.260	6
46	-20.00	2.21	-23.47	39	3.240	9
47	-19.17	2.35	-22.60	37	3.220	9
48	-19.39	2.40	-22.45	42	3.220	13
-----------------------------------------------------------------------------
