Command:
display ont optical-info 0 all
-----------------------------------------------------------------------------
ONT  Rx power    Tx power    OLT Rx ONT  Temperature  Voltage     Current
ID   (dBm)       (dBm)       power(dBm)  (C)          (V)         (mA)
-----------------------------------------------------------------------------
3	-16.94	2.27	-20.81	32	3.220	7
4	-22.75	2.12	-26.39	41	3.360	10
5	-23.01	2.31	-25.53	43	3.300	9
8	-19.20	1.94	-23.77	45	3.360	9
13	-19.28	2.25	-21.62	35	3.320	12
18	-17.03	2.35	-20.00	53	3.320	10
19	-18.76	1.93	-21.88	41	3.360	10
20	-23.46	2.31	-20.76	37	3.240	9
21	-17.79	2.19	-22.37	43	3.360	9
22	-20.36	2.25	-21.81	45	3.360	12
23	-18.99	2.00	-21.55	37	3.300	13
24	-23.01	2.38	-25.09	35	3.240	11
25	-21.02	2.46	-20.76	41	3.240	11
31	-16.59	2.22	-19.07	46	3.320	10
33	-20.70	2.11	-21.81	41	3.360	9
34	-19.39	1.89	-22.52	43	3.340	6
35	-21.87	1.96	-22.30	39	3.320	7
41	-21.87	2.26	-24.95	45	3.320	10
42	-23.87	2.38	-23.88	43	3.300	12
44	-19.06	1.84	-22.15	39	3.360	10
45	-28.54	2.75	-28.54	37	3.240	11
46	-22.84	2.09	-25.86	44	3.400	10
47	-24.95	2.15	-24.82	43	3.360	8
48	-19.70	2.22	-23.47	47	3.300	8
50	-25.37	2.33	-27.96	33	3.260	10
52	-24.31	2.09	-28.54	43	3.300	8
53	-19.28	2.11	-22.37	44	3.280	11
55	-18.32	2.51	-19.75	36	3.280	10
56	-22.44	2.33	-24.32	46	3.300	10
61	-18.50	2.42	-21.37	31	3.240	10
62	-21.02	2.29	-24.09	39	3.300	6
65	-21.48	2.15	-23.38	43	3.260	10
66	-27.96	2.18	-26.20	51	3.320	15
67	-19.91	2.16	-22.84	40	3.300	14
68	-19.70	2.38	-22.15	35	3.220	14
69	-18.12	2.26	-20.92	35	3.300	12
70	-17.30	1.87	-20.46	43	3.360	8
72	-19.43	1.91	-22.30	33	3.220	8
75	-17.49	2.30	-20.27	35	3.220	11
76	-19.43	2.32	-21.74	37	3.240	9
78	-19.39	2.15	-23.10	37	3.220	9
79	-20.45	2.41	-22.68	31	3.280	12
80	-19.20	2.11	-20.92	43	3.220	7
87	-31.54	2.29	-27.70	38	3.220	12
-----------------------------------------------------------------------------
